asb,"asset_type","cis_control","cis_safeguard_id",description,ig1,ig2,ig3,recommendation,relationship,"security_function","security_principal",title
"IR-3","N/A",17,"17.9","Establish and maintain security incident thresholds, including, at a minimum, differentiating between an incident and an event. Examples can include: abnormal activity, security vulnerability, security weakness, data breach, privacy incident, etc. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",0,0,1,"Detection and analysis - create incidents based on high-quality alerts",Subset,Recover,"Ensure you have a process to create high-quality alerts and measure the quality of alerts. This allows you to learn lessons from past incidents and prioritize alerts for analysts, so they don't waste time on false positives.

High-quality alerts can be built based on experience from past incidents, validated community sources, and tools designed to generate and clean up alerts by fusing and correlating diverse signal sources.","Establish and Maintain Security Incident Thresholds"
"IR-5","N/A",17,"17.9","Establish and maintain security incident thresholds, including, at a minimum, differentiating between an incident and an event. Examples can include: abnormal activity, security vulnerability, security weakness, data breach, privacy incident, etc. Review annually, or when significant enterprise changes occur that could impact this Safeguard.",0,0,1,"Detection and analysis - prioritize incidents",Subset,Recover,"Provide context to security operations team on which incidents to focus on first based on alert severity and asset sensitivity defined in your organization's incident response plan.","Establish and Maintain Security Incident Thresholds"
"PV-7","N/A",18,"18.1","Establish and maintain a penetration testing program appropriate to the size, complexity, and maturity of the enterprise. Penetration testing program characteristics include scope, such as network, web application, Application Programming Interface (API), hosted services, and physical premise controls; frequency; limitations, such as acceptable hours, and excluded attack types; point of contact information; remediation, such as how findings will be routed internally; and retrospective requirements.",0,1,1,"Conduct regular red team operations",Subset,Identify,"Red team operations such as penetration testing should be conducted to simulate the real-world attacks to complement the traditional vulnerability assessment approach. The stakeholder and relevant resource owners should be informed to discuss the testing constrains and to ensure the testing will not cause damages to the production environment. 

Follow the other industry best practices to design, prepare and conduct such kind of testing. ","Establish and Maintain a Penetration Testing Program"
"PV-7",Network,18,"18.2","Perform periodic external penetration tests based on program requirements, no less than annually. External penetration testing must include enterprise and environmental reconnaissance to detect exploitable information. Penetration testing requires specialized skills and experience and must be conducted through a qualified party. The testing may be clear box or opaque box.",0,1,1,"Conduct regular red team operations",Subset,Identify,"Red team operations such as penetration testing should be conducted to simulate the real-world attacks to complement the traditional vulnerability assessment approach. The stakeholder and relevant resource owners should be informed to discuss the testing constrains and to ensure the testing will not cause damages to the production environment. 

Follow the other industry best practices to design, prepare and conduct such kind of testing. ","Perform Periodic External Penetration Tests"
"PV-7",Network,18,"18.3","Remediate penetration test findings based on the enterprise’s policy for remediation scope and prioritization.",0,1,1,"Conduct regular red team operations",Subset,Protect,"Red team operations such as penetration testing should be conducted to simulate the real-world attacks to complement the traditional vulnerability assessment approach. The stakeholder and relevant resource owners should be informed to discuss the testing constrains and to ensure the testing will not cause damages to the production environment. 

Follow the other industry best practices to design, prepare and conduct such kind of testing. ","Remediate Penetration Test Findings"
"PV-7",Network,18,"18.4","Validate security measures after each penetration test. If deemed necessary, modify rulesets and capabilities to detect the techniques used during testing.",0,0,1,"Conduct regular red team operations",Subset,Protect,"Red team operations such as penetration testing should be conducted to simulate the real-world attacks to complement the traditional vulnerability assessment approach. The stakeholder and relevant resource owners should be informed to discuss the testing constrains and to ensure the testing will not cause damages to the production environment. 

Follow the other industry best practices to design, prepare and conduct such kind of testing. ","Validate Security Measures"
"PV-7","N/A",18,"18.5","Perform periodic internal penetration tests based on program requirements, no less than annually. The testing may be clear box or opaque box.",0,0,1,"Conduct regular red team operations",Subset,Identify,"Red team operations such as penetration testing should be conducted to simulate the real-world attacks to complement the traditional vulnerability assessment approach. The stakeholder and relevant resource owners should be informed to discuss the testing constrains and to ensure the testing will not cause damages to the production environment. 

Follow the other industry best practices to design, prepare and conduct such kind of testing. ","Perform Periodic Internal Penetration Tests"
,,,,,0,0,0,,,,,
,,,,,0,0,0,,,,,
,,,,,0,0,0,,,,,
,,,,,0,0,0,,,,,
,,,,,0,0,0,,,,,
,,,,,0,0,0,,,,,
,,,,,0,0,0,,,,,
